Card Name,Fair Value,Trend,Top 3 Prices,Median (All),Min,Max,Num Sales
2022-23 Upper Deck Extended Series - [Base] #705 - Young Guns - Jonatan Berggren,$4.40,down,$4.4 | $8.78,$6.59,$4.40,$8.78,2
2022-23 Upper Deck Synergy - Cranked Up - Purple #CU-SC - Sidney Crosby #70/99,$52.89,up,$15.69 | $52.89 | $17.99,$17.99,$10.29,$52.89,5
"2023 Upper Deck All-Sports Game Dated Moments - [Base] #66 - (Dec. 26, 2023) - Macklin Celebrini Scores First Goal of the 2024 World Junior Championship",$5.00,no data,,$5.00,$5.00,$5.00,0
2023-24 Upper Deck Series 1 - [Base] - Deluxe #144 - Tomas Hertl #1/250,$2.24,down,$2.99 | $2.24 | $3.45,$2.62,$1.65,$5.14,8
2023-24 Upper Deck Series 2 - [Base] - Outburst #483 - Young Guns - Samuel Knazko,$5.10,up,$3.3 | $4.37 | $5.1,$3.99,$1.49,$11.76,18
2023-24 Upper Deck Series 1 - [Base] #201 - Young Guns - Matthew Coronato,$5.50,stable,$5.5 | $9.91 | $3.79,$5.07,$1.99,$14.45,26
2023-24 Upper Deck Series 1 - [Base] #213 - Young Guns - Will Cuylle,$5.99,stable,$5.99 | $8.99 | $3.51,$5.13,$2.00,$15.00,34
2023-24 Upper Deck Series 1 - [Base] #228 - Young Guns - Simon Edvinsson,$3.30,stable,$2.99 | $5.0 | $3.3,$7.00,$2.75,$22.41,41
2023-24 Upper Deck Series 1 - [Base] #221 - Young Guns - Luke Evangelista,$2.75,down,$3.0 | $2.75 | $3.79,$2.99,$1.50,$8.45,39
2023-24 Upper Deck Series 2 - [Base] #492 - Young Guns - Dmitri Voronkov,$3.30,down,$3.3 | $4.37 | $4.41,$4.33,$2.04,$14.39,32
2023-24 Upper Deck Series 1 - [Base] #241 - Young Guns - Marco Kasper,$3.30,stable,$6.6 | $3.15 | $3.3,$6.23,$3.15,$18.06,43
2023-24 Upper Deck Extended Series - [Base] #724 - Young Guns - Dennis Hildeby,$10.29,stable,$10.29 | $4.4 | $11.45,$9.18,$4.40,$12.48,6
2024-25 Upper Deck UD Rookie Debut - [Base] #9 - Lane Hutson,$36.74,up,$22.79 | $16.89 | $36.74,$20.20,$16.02,$36.74,7
2024-25 Upper Deck Series 1 - UD Canvas #C-117 - Young Guns - Frank Nazar,$29.90,stable,$29.9 | $20.0 | $48.48,$29.90,$20.00,$48.48,7
2023-24 Upper Deck Series 1 - UD Canvas #C103 - Young Guns - Matthew Knies [PSA 9 MINT],$91.92,down,$91.92 | $170.46,$131.19,$91.92,$170.46,2
