Season,Set,CardNumber,PlayerName,Team,Position,Rookie,CardName,FairValue,NumSales,Min,Max,Trend,Top3Prices,LastScraped
2025-26,2025-26 Upper Deck Young Guns,201,Artyom Levshunov,Chicago Blackhawks,,Y,2025-26 Upper Deck - Young Guns #201 - Artyom Levshunov,19.97,36.0,5.1,30.5,stable,$12.12 | $24.06 | $19.97,2026-02-15 01:51
2025-26,2025-26 Upper Deck Young Guns,202,Gabe Perreault,New York Rangers,,Y,2025-26 Upper Deck - Young Guns #202 - Gabe Perreault,16.82,38.0,2.49,16.98,up,$4.4 | $16.82 | $3.67,2026-02-15 01:51
2025-26,2025-26 Upper Deck Young Guns,203,Olivier Rodrigue,Edmonton Oilers,,Y,2025-26 Upper Deck - Young Guns #203 - Olivier Rodrigue,3.67,38.0,1.46,11.38,up,$3.67 | $3.08 | $1.79,2026-02-15 01:51
2025-26,2025-26 Upper Deck Young Guns,204,Carter Mazur,Detroit Red Wings,,Y,2025-26 Upper Deck - Young Guns #204 - Carter Mazur,11.02,28.0,1.46,11.72,up,$3.67 | $3.08 | $11.02,2026-02-15 01:51
2025-26,2025-26 Upper Deck Young Guns,205,Ivan Demidov,Montreal Canadiens,,Y,2025-26 Upper Deck - Young Guns #205 - Ivan Demidov,120.0,44.0,61.1,196.9,stable,$120.0 | $142.09 | $119.99,2026-02-15 01:51
2025-26,2025-26 Upper Deck Young Guns,206,Tim Washe,Anaheim Ducks,,Y,2025-26 Upper Deck - Young Guns #206 - Tim Washe,3.67,30.0,1.46,10.0,stable,$3.67 | $3.08 | $4.0,2026-02-15 01:51
2025-26,2025-26 Upper Deck Young Guns,207,Jimmy Snuggerud,St. Louis Blues,,Y,2025-26 Upper Deck - Young Guns #207 - Jimmy Snuggerud,22.6,38.0,5.1,33.4,stable,$22.6 | $22.95 | $10.28,2026-02-15 01:51
2025-26,2025-26 Upper Deck Young Guns,208,Jack Finley,Tampa Bay Lightning,,Y,2025-26 Upper Deck - Young Guns #208 - Jack Finley,10.99,30.0,1.4,10.99,up,$3.67 | $3.08 | $10.99,2026-02-15 01:51
2025-26,2025-26 Upper Deck Young Guns,209,Jani Nyman,Seattle Kraken,,Y,2025-26 Upper Deck - Young Guns #209 - Jani Nyman,3.08,32.0,1.46,11.67,stable,$3.67 | $3.08 | $1.84,2026-02-15 01:51
2025-26,2025-26 Upper Deck Young Guns,210,Karsen Dorwart,Philadelphia Flyers,,Y,2025-26 Upper Deck - Young Guns #210 - Karsen Dorwart,3.08,38.0,1.46,12.92,down,$3.67 | $3.08 | $10.95,2026-02-15 01:51
2025-26,2025-26 Upper Deck Young Guns,211,Riley Duran,Boston Bruins,,Y,2025-26 Upper Deck - Young Guns #211 - Riley Duran,1.44,37.0,1.44,8.0,down,$3.67 | $3.08 | $1.44,2026-02-15 01:51
2025-26,2025-26 Upper Deck Young Guns,212,Ozzy Wiesblatt,Nashville Predators,,Y,2025-26 Upper Deck - Young Guns #212 - Ozzy Wiesblatt,3.67,45.0,2.99,22.48,stable,$19.97 | $3.67 | $3.08,2026-02-15 01:51
2025-26,2025-26 Upper Deck Young Guns,213,Luca Cagnoni,San Jose Sharks,,Y,2025-26 Upper Deck - Young Guns #213 - Luca Cagnoni,3.67,30.0,1.46,10.93,stable,$3.67 | $3.08 | $10.93,2026-02-15 01:51
2025-26,2025-26 Upper Deck Young Guns,214,Ryan Suzuki,Carolina Hurricanes,,Y,2025-26 Upper Deck - Young Guns #214 - Ryan Suzuki,10.99,36.0,1.46,11.73,up,$3.67 | $3.08 | $10.99,2026-02-15 01:51
2025-26,2025-26 Upper Deck Young Guns,215,Sam Morton,Calgary Flames,,Y,2025-26 Upper Deck - Young Guns #215 - Sam Morton,10.93,38.0,1.46,11.67,up,$3.67 | $3.08 | $10.93,2026-02-15 01:51
2025-26,2025-26 Upper Deck Young Guns,216,Oliver Moore,Chicago Blackhawks,,Y,2025-26 Upper Deck - Young Guns #216 - Oliver Moore,5.0,34.0,1.73,13.22,up,$5.0 | $4.95 | $3.67,2026-02-15 01:51
2025-26,2025-26 Upper Deck Young Guns,217,Rodrigo Abols,Philadelphia Flyers,,Y,2025-26 Upper Deck - Young Guns #217 - Rodrigo Abols,11.0,29.0,1.46,11.0,up,$3.67 | $3.08 | $11.0,2026-02-15 01:51
2025-26,2025-26 Upper Deck Young Guns,218,Colton Dach,Chicago Blackhawks,,Y,2025-26 Upper Deck - Young Guns #218 - Colton Dach,11.06,29.0,1.46,11.7,up,$3.67 | $3.08 | $11.06,2026-02-15 01:51
2025-26,2025-26 Upper Deck Young Guns,219,Noah Ostlund,Buffalo Sabres,,Y,2025-26 Upper Deck - Young Guns #219 - Noah Ostlund,3.67,35.0,1.46,11.06,up,$2.2 | $3.67 | $3.08,2026-02-15 01:51
2025-26,2025-26 Upper Deck Young Guns,220,Niklas Kokko,Seattle Kraken,,Y,2025-26 Upper Deck - Young Guns #220 - Niklas Kokko,19.47,34.0,3.78,31.6,up,$19.47 | $12.83 | $10.93,2026-02-15 01:51
2025-26,2025-26 Upper Deck Young Guns,221,Nikita Tolopilo,Vancouver Canucks,,Y,2025-26 Upper Deck - Young Guns #221 - Nikita Tolopilo,12.77,39.0,1.83,12.77,up,$3.67 | $3.08 | $12.77,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,222,Michael Callahan,Boston Bruins,,Y,2025-26 Upper Deck - Young Guns #222 - Michael Callahan,10.93,38.0,1.46,11.69,up,$3.67 | $3.08 | $10.93,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,223,Elias Pettersson,Vancouver Canucks,,Y,2025-26 Upper Deck - Young Guns #223 - Elias Pettersson,4.41,38.0,1.46,12.63,up,$3.67 | $3.08 | $4.41,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,224,Quinn Hutson,Edmonton Oilers,,Y,2025-26 Upper Deck - Young Guns #224 - Quinn Hutson,13.06,28.0,2.2,13.06,up,$3.67 | $3.08 | $13.06,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,225,Jacob Gaucher,Philadelphia Flyers,,Y,2025-26 Upper Deck - Young Guns #225 - Jacob Gaucher,3.67,37.0,1.25,10.99,stable,$3.67 | $3.08 | $10.99,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,226,Dalibor Dvorsky,St. Louis Blues,,Y,2025-26 Upper Deck - Young Guns #226 - Dalibor Dvorsky,19.97,39.0,3.67,20.46,up,$9.0 | $19.97 | $3.67,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,227,Owen Sillinger,Columbus Blue Jackets,,Y,2025-26 Upper Deck - Young Guns #227 - Owen Sillinger,3.67,34.0,1.36,8.45,stable,$3.67 | $3.08 | $4.0,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,228,Matthew Wood,Nashville Predators,,Y,2025-26 Upper Deck - Young Guns #228 - Matthew Wood,1.93,33.0,1.46,9.5,down,$3.67 | $3.08 | $1.93,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,229,Donovan Sebrango,Ottawa Senators,,Y,2025-26 Upper Deck - Young Guns #229 - Donovan Sebrango,10.93,35.0,1.46,10.93,up,$3.67 | $3.08 | $10.93,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,230,Jacob Melanson,Seattle Kraken,,Y,2025-26 Upper Deck - Young Guns #230 - Jacob Melanson,3.67,34.0,1.46,11.0,stable,$3.67 | $3.08 | $11.0,2026-02-15 01:52
2025-26,2025-26 Upper Deck Young Guns,231,Marc Gatcomb,New York Islanders,,Y,2025-26 Upper Deck - Young Guns #231 - Marc Gatcomb,11.05,29.0,1.46,11.38,up,$11.05 | $3.67 | $3.08,2026-02-15 01:52
